Type,Country,Year,Value,Unit
total-energy,Belgium,2013,55.86552554066085,Mtep
total-energy,Belgium,2014,52.75292085239421,Mtep
total-energy,Belgium,2015,52.584063191727424,Mtep
total-energy,Belgium,2016,55.61178532910227,Mtep
total-energy,Belgium,2017,55.360325377952265,Mtep
total-energy,Belgium,2018,53.3304887238462,Mtep
total-energy,Belgium,2019,54.974816134703886,Mtep
total-energy,Belgium,2020,50.657176526649856,Mtep
total-energy,Belgium,2021,55.925644122333466,Mtep
total-energy,Belgium,2022,50.96973175719485,Mtep
total-energy,Belgium,2023,47.737911816575696,Mtep
total-energy,Belgium,2024,48.13741946617176,Mtep
total-energy,Brazil,1990,147.0533619170264,Mtep
total-energy,Brazil,1991,150.51488985281452,Mtep
total-energy,Brazil,1992,152.08626885272054,Mtep
total-energy,Brazil,1993,156.19674812687816,Mtep
total-energy,Brazil,1994,165.1684153150159,Mtep
total-energy,Brazil,1995,169.6010900693384,Mtep
total-energy,Brazil,1996,178.3244334518095,Mtep
total-energy,Brazil,1997,188.73798758254614,Mtep
total-energy,Brazil,1998,193.21979602064258,Mtep
total-energy,Brazil,1999,197.85356803658917,Mtep
total-energy,Brazil,2000,198.07822197955085,Mtep
total-energy,Brazil,2001,202.11717136509782,Mtep
total-energy,Brazil,2002,207.3406305211371,Mtep
total-energy,Brazil,2003,211.51580174706095,Mtep
total-energy,Brazil,2004,223.16417099124027,Mtep
total-energy,Brazil,2005,229.77079100486577,Mtep
total-energy,Brazil,2006,237.607542713555,Mtep
total-energy,Brazil,2007,250.47225177699332,Mtep
total-energy,Brazil,2008,265.6572001256668,Mtep
total-energy,Brazil,2009,257.38062047917276,Mtep
total-energy,Brazil,2010,284.5453269231034,Mtep
total-energy,Brazil,2011,287.5513913378227,Mtep
total-energy,Brazil,2012,299.28843227226406,Mtep
total-energy,Brazil,2013,313.01084639282607,Mtep
total-energy,Brazil,2014,321.91797214757656,Mtep
total-energy,Brazil,2015,315.93978306800494,Mtep
total-energy,Brazil,2016,304.6906278276291,Mtep
total-energy,Brazil,2017,309.1623909283845,Mtep
total-energy,Brazil,2018,304.2140262839492,Mtep
total-energy,Brazil,2019,309.5501692237557,Mtep
total-energy,Brazil,2020,305.34289803706304,Mtep
total-energy,Brazil,2021,323.6317321641215,Mtep
total-energy,Brazil,2022,316.20046711729736,Mtep
total-energy,Brazil,2023,331.14136740146137,Mtep
total-energy,Brazil,2024,341.45921746668,Mtep
total-energy,Canada,1990,212.2836824338878,Mtep
total-energy,Canada,1991,211.75111282042843,Mtep
total-energy,Canada,1992,216.75365975981146,Mtep
total-energy,Canada,1993,223.82097835335927,Mtep
total-energy,Canada,1994,231.99295554978664,Mtep
total-energy,Canada,1995,235.33918035765237,Mtep
total-energy,Canada,1996,240.15030266100075,Mtep
total-energy,Canada,1997,242.6316701707398,Mtep
total-energy,Canada,1998,241.1426039413988,Mtep
total-energy,Canada,1999,247.79836212550322,Mtep
total-energy,Canada,2000,253.07751195781802,Mtep
total-energy,Canada,2001,249.2593977504103,Mtep
total-energy,Canada,2002,249.62580804227446,Mtep
total-energy,Canada,2003,263.60432767577475,Mtep
total-energy,Canada,2004,268.8743645012133,Mtep
total-energy,Canada,2005,272.3359179691855,Mtep
total-energy,Canada,2006,277.5064161694582,Mtep
total-energy,Canada,2007,277.96267867411956,Mtep
total-energy,Canada,2008,272.19657164405453,Mtep
total-energy,Canada,2009,262.4014276543893,Mtep
total-energy,Canada,2010,264.29182540146996,Mtep
total-energy,Canada,2011,268.7319927598552,Mtep
total-energy,Canada,2012,269.2747281741488,Mtep
total-energy,Canada,2013,272.9927836107695,Mtep
total-energy,Canada,2014,279.567319048769,Mtep
total-energy,Canada,2015,278.35691845035393,Mtep
total-energy,Canada,2016,290.6153289969425,Mtep
total-energy,Canada,2017,302.66832599677525,Mtep
total-energy,Canada,2018,307.1105275995767,Mtep
