country,year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products,renewables,renewables-wind-solar,total-energy
Argentina,2017,-0.00902011525288913,-0.18611407966098414,0.07512437881369162,0.5754596490932461,0.07240739350104532,0.5271594242539779,0.020352254948353216,0.02644306499438457
Argentina,2018,-0.0437370239892336,-0.18396110045001143,0.07399896915759771,0.5253405932202823,0.035247974724477917,0.4923332674792552,0.14493607141790663,0.013480336732927206
Argentina,2019,-0.06897658537922788,-0.19505612254427776,0.0603145132226039,0.48233652971771507,0.020022935086856552,0.5870726742097618,0.7966690643590055,0.014119274585654856
Argentina,2020,-0.09588691717984442,-0.19098968880090283,0.05551026639249015,0.4401976892873008,0.01190634949418946,0.3560146789963164,1.5539963109046717,-0.028627634887685143
Argentina,2021,-0.016788561190983847,-0.1827410786228902,0.07540025744534104,0.663884549955547,0.043962439043501327,0.30918816152126793,2.08464345317329,0.025331688998079718
Argentina,2022,-0.043743002684981803,-0.18163588137189082,0.05503340798817107,0.46281001122243015,0.05606303927031956,0.48489444515424474,2.4883322780028014,0.022114265392751138
Argentina,2023,-0.06780035017952661,-0.18554764673182234,0.05450354585436814,0.42628051066181233,0.04721511393116761,0.8283745885702566,2.4706203585910025,0.01770183006707504
Argentina,2024,-0.08907963726226491,-0.19242397532873015,0.0519377716753572,0.4216214195399017,0.024864567947715417,0.749498736271294,2.795886028813563,0.008989956933192234
Australia,1990,0.29740518842114827,1.140681195076249,0.09849961906361061,-0.1385324028223246,0.11729222963610919,-0.18976111293765668,-0.07425381783133841,0.09054766848944136
Australia,1991,0.2995280307683154,1.1962567779339452,0.1099288766605175,-0.16643753172861095,0.10809914426169798,-0.16616480492973715,-0.07425381783133841,0.08097309124552092
Australia,1992,0.31542506365556017,1.235699366181091,0.11700976153952065,-0.1521067994083224,0.1054541161890604,-0.18207117992648802,-0.07425381783133841,0.09589693316837523
Australia,1993,0.32443314586549066,1.2099640820736923,0.13506886434781326,-0.13694531767665993,0.11719546031637855,-0.16559031673221752,-0.07277929633460721,0.12315113997185347
Australia,1994,0.3283149723488183,1.2172555066841542,0.1517485739978585,-0.11809120970677543,0.1301625491602849,-0.18035856437313708,-0.07202689849014288,0.12388821892899805
Australia,1995,0.3586753339297912,1.249851619460453,0.17197967365215336,-0.08464836133950175,0.1486132327889278,-0.19931119194566696,-0.07134003486695752,0.13752247213135585
Australia,1996,0.4131142980183709,1.3579312007926978,0.18961838997412295,-0.08385420881849659,0.16799935317496686,-0.21375822275358702,-0.07104230464044385,0.1847549815709639
Australia,1997,0.43851717951789576,1.4403472640078037,0.2123849456240535,-0.07996090963141843,0.16996699600948995,-0.20116701955639824,-0.07065641239306164,0.1919364424649496
Australia,1998,0.4936609900354244,1.5853432707300268,0.2548965290534679,-0.06040170157375974,0.1769182588101412,-0.24155477302230902,-0.07021158541899314,0.21142954569185657
Australia,1999,0.5140064955111253,1.6220300449511709,0.27855640598683473,-0.040543008963248875,0.1841598295699844,-0.23780886057054218,-0.06758630851043072,0.22898547031561253
Australia,2000,0.5305472293529601,1.625403046493412,0.29780222481381,-0.01402917183915372,0.20159443534145552,-0.24363334331739953,-0.06423622511540998,0.23852444120099464
Australia,2001,0.5165860421818914,1.6282162733116214,0.3336357937469474,0.015325193925741073,0.19775591899213998,-0.2537051012428687,-0.049449303636886405,0.21307560896567593
Australia,2002,0.5413990969293019,1.656161949919043,0.37614299815046254,0.07244745025803896,0.18933698817557393,-0.2647731353320918,-0.03434320546102665,0.23926358963986474
Australia,2003,0.5095732146134083,1.660117339934418,0.3588414668227312,0.03310396326695285,0.22767376700886413,-0.2439209772608552,0.0014515024928079127,0.23226151637093098
Australia,2004,0.5483013883576155,1.7371869913008828,0.3784376077216423,0.05247530728738445,0.2478662983926586,-0.2528102752404965,7.455902850429897e-05,0.2433248280873246
Australia,2005,0.5493929359847991,1.7645785456337104,0.38016294392592637,0.04578417583160387,0.2518822251614804,-0.2301647641792908,0.018233090303058464,0.24613197580763263
Australia,2006,0.563239948700394,1.8029711507001418,0.39704408876733466,0.047220603778583246,0.25755935858567813,-0.21569037832334112,0.09581030406283635,0.27440099964836545
Australia,2007,0.5940581431205989,1.8147993591153777,0.43921410817661166,0.13231264352348548,0.26573636610291756,-0.23747781127372003,0.17122622938093143,0.2984423360439042
Australia,2008,0.6066719252081826,1.8027442450684754,0.4429975865535187,0.1557993078658999,0.2843967165909769,-0.25644936678421953,0.21625819003205576,0.33111830748061827
Australia,2009,0.625036333268323,1.8641543718525617,0.4760066837816734,0.17644300377482383,0.271494140626891,-0.2790662501823745,0.27800954609888856,0.3308250061571405
Australia,2010,0.6512378600257797,1.7013435696961667,0.4859602096505504,0.19504703299385412,0.3053311460927063,-0.24094743641345695,0.39823850856643506,0.3599978412083968
Australia,2011,0.6479895792940326,1.6313883300811336,0.49861559449923276,0.20492575360076595,0.3409261275336283,-0.1788423299999232,0.5719621495466002,0.3620360586226248
Australia,2012,0.6517348679481596,1.612571287434843,0.48887226187351723,0.23991055094891595,0.35987678598087947,-0.17416758060558948,0.7384199297040761,0.3531496363903226
Australia,2013,0.6268618660765528,1.4561357818651044,0.48793077130518964,0.26507335287022626,0.3829562687366381,-0.081822152468433,0.9317650266275859,0.3666340563494242
Australia,2014,0.5988289959986256,1.3833076549487942,0.4877468522174233,0.28345414105800604,0.3769726991332933,-0.031210005636549853,1.190179997588586,0.3593765288370017
Australia,2015,0.6118468040791453,1.4545856364754777,0.5053899475652921,0.2914902082348435,0.3541996525566817,-0.07604368739208871,1.3646449459021885,0.35945734773411736
Australia,2016,0.6252250778921834,1.4888467202258195,0.5238387836786134,0.29855035833517785,0.3568285524093641,-0.03229549832385343,1.4996819809041937,0.35142932785776654
Australia,2017,0.667609164203658,1.504419940112338,0.5254486274538319,0.329387237901145,0.36628841467005274,0.005485072373405597,1.6829930501665293,0.3782287249438153
Australia,2018,0.6576188525694887,1.3745378509389674,0.5417201199305282,0.3588587387230952,0.3866140683813567,0.055095379011156465,2.0348990052268796,0.3795494136650003
Australia,2019,0.6513046373415785,1.3208568902241469,0.5565916027950434,0.37852850110697295,0.3849844891653126,0.14590722216161012,2.631031285903116,0.3950024816074232
Australia,2020,0.6016496637608529,1.2381681162460507,0.5615613724251208,0.41264054435288,0.3456531959049306,0.24695247374646145,3.3529655654496024,0.3936535326775979
Australia,2021,0.5777958795716208,1.2116290530477352,0.557551997618178,0.3756650298756015,0.3418986914533612,0.38861708614439355,3.9260152644607227,0.36928841359326814
Australia,2022,0.5572162944896427,1.1530249454010475,0.577710098910733,0.37499483895160163,0.3382020873114306,0.5377124966597148,3.9260152644607227,0.3494658708774818
Australia,2023,0.5687363441151828,1.1012019812040108,0.5918624708321735,0.3834556527874726,0.38565401900529084,0.6420215122875118,3.9260152644607227,0.35872857044776335
Australia,2024,0.5737678621311062,1.1163986811076154,0.6145657286185059,0.34769924223023485,0.39905121732990484,0.6838491721875396,3.9260152644607227,0.3640869209521553
Azerbaijan,1990,-0.38844956036479134,-0.207084102015089,-0.4134435407598313,-0.15086482196809675,-0.2598178093542118,-0.29167985737400043,-0.07425381783133841,-0.3697565037848447
Azerbaijan,1991,-0.3934341498407158,-0.20780176191769353,-0.4121123168864751,-0.15058631672017003,-0.26283378648581684,-0.27997707555467904,-0.07425381783133841,-0.37128065508637254
Azerbaijan,1992,-0.44028485862841554,-0.20995474162550717,-0.42710172253942996,-0.4926170763121979,-0.21836924047302914,-0.23312352679355175,-0.07425381783133841,-0.3827124010265178
