country,year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products,total-energy
39,2008,-0.4172712443364945,-0.1414067264073329,0.0937571340147791,-0.5462365162534158,-0.1784698258262624,-0.1895922783424323
39,2009,-0.4244233173009042,-0.1595246356358342,0.0704957484382393,-0.5360254934855878,-0.1961137436363108,-0.2183993551857084
39,2010,-0.4117264173283869,-0.1433848192121875,0.10854948350227,-0.5284292387720816,-0.1834146090387386,-0.1811326736525242
39,2011,-0.421835751701459,-0.1499113194054332,0.0749492177777237,-0.5342490517550166,-0.1990735461778123,-0.1889100215643014
39,2012,-0.4289420096910987,-0.159278214969367,0.0887650444896934,-0.5374101474944345,-0.2066991621112265,-0.1856686578579429
39,2013,-0.4345987613571861,-0.1587755805211129,0.0766132476194189,-0.5395387057773006,-0.2123220885881552,-0.1905439997402387
39,2014,-0.4384881344825556,-0.1633314720868349,0.0656831989750206,-0.543132326542836,-0.2158528139878475,-0.1989830972857706
39,2015,-0.4387670940452118,-0.1643643349586997,0.0763242319100718,-0.542089000904392,-0.2201901439239346,-0.2244590797437897
39,2016,-0.4400450071514166,-0.164884803077624,0.0885066819616406,-0.5431028680589627,-0.2177076721802245,-0.2013575846974244
39,2017,-0.4413358567234892,-0.1651802363161913,0.0882702145630839,-0.5391329315079354,-0.2200900844473331,-0.1924809286685995
39,2018,-0.4483783042452574,-0.1636649330411299,0.0876396348335995,-0.5388775632123525,-0.2378190463612049,-0.1855844301468971
39,2019,-0.4509921229965744,-0.1657086574315786,0.0733421152727179,-0.5397943447622091,-0.2375900901507222,-0.1941226617864755
39,2020,-0.4544749806869379,-0.1748468191900928,0.0675004947231878,-0.5408623006913011,-0.2502758705821716,-0.225569866630245
39,2021,-0.446507608557407,-0.1740434938302062,0.0878454490508618,-0.5374359765771863,-0.2334167680833586,-0.2053783814525923
39,2022,-0.4552971747589741,-0.1760411271771498,0.0638746612786518,-0.5459874519924206,-0.250469731786032,-0.2204520311473895
39,2023,-0.4582770453443998,-0.1757441218336757,0.0574112190514356,-0.5462042998170075,-0.2492255202575952,-0.2244634132881313
39,2024,-0.4553903951385175,-0.1758923480892728,0.065548293992348,-0.5446908119326219,-0.2402674999798337,-0.2203032914438849
40,1990,-0.1756352410779679,0.0384852602990707,-0.1447071003519481,-0.5171522415636813,0.0671818502355905,-0.177784543938732
40,1991,-0.1471487729829461,0.0629703183466455,-0.1084575239583869,-0.4879601220127554,0.0867131246012255,-0.1496447554575098
40,1992,-0.1193868082841634,0.1048247407074787,-0.0824154569358562,-0.4838588304987473,0.0944224137397669,-0.1339153297882365
40,1993,-0.0874527835432747,0.1337459452479902,-0.0458068004185608,-0.4861528455767046,0.128082008786076,-0.1044179932464696
40,1994,-0.0602441707419777,0.150138787946286,-0.0139931772608872,-0.4616121907916657,0.1543064944330806,-0.0838045149778286
40,1995,-0.0329870008968379,0.1621514210340142,0.0174788818766488,-0.4541043387324859,0.199417125647516,-0.0587276549193151
40,1996,-0.0058895032391908,0.2153884335975757,0.0494851821738872,-0.4494120074390201,0.1984010477903442,-0.0359550118419553
40,1997,0.0359970750916159,0.2764889894104861,0.087232385424974,-0.4335002894547951,0.207078030126192,-0.0092542902002475
40,1998,0.0692303135474872,0.3168511906278064,0.1344295265665304,-0.4013700495554193,0.2261415861131289,0.0251380676628706
40,1999,0.0979126312376384,0.3532078412937529,0.1635106375631044,-0.4042050886626634,0.2571238966468902,0.0455092008050436
